监测点,城市,经度,纬度,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
朝晖五区,杭州,120.157,30.2897,89,72,66,57,52,40,32,30,37,44,59,85
下沙,杭州,120.348,30.3058,83,68,57,50,46,36,32,28,35,39,51,77
和睦小学,杭州,120.12,30.3119,84,69,64,59,49,38,32,30,37,42,51,77
临平镇,杭州,120.301,30.4183,75,66,58,53,49,38,28,25,32,39,51,74
环科院,安庆,117.0549,30.5103,82,71,64,45,55,31,25,25,37,53,53,84
马山宾馆,安庆,117.0331111,30.51197222,83,72,60,48,58,35,30,32,34,48,58,88
安庆大学,安庆,116.9894,30.6145,80,68,59,41,51,34,26,29,37,51,61,86
平天湖,池州,117.4974,30.6539,77,53,49,41,45,31,25,28,35,43,50,69
池州学院,池州,117.4697,30.6617,77,55,48,41,41,28,19,22,29,41,50,73
嘉兴学院,嘉兴,120.726,30.7478,70,59,51,47,42,34,32,28,33,36,47,66
清河小学,嘉兴,120.744,30.7946,72,61,50,45,39,32,29,26,29,33,44,67
城西水厂,湖州,120.07,30.8244,71,60,53,47,39,34,28,25,28,32,43,63
市第九中学,铜陵,117.7442,30.8811,83,63,62,51,58,37,28,36,38,52,60,75
车站新区,铜陵,117.8561,30.9219,83,64,59,46,56,36,27,33,33,45,55,78
市公路局,铜陵,117.8078,30.9222,83,69,56,49,56,36,30,33,33,47,62,85
市新民污水厂,铜陵,117.7806,30.9414,83,66,64,51,57,37,26,32,33,44,58,78
市第四中学,铜陵,117.8178,30.9414,82,68,62,50,60,39,30,34,34,47,59,83
开发区子站,宣城,118.7175,30.9431,79,61,58,49,53,36,27,28,33,48,58,78
鳌峰子站,宣城,118.7581,30.9447,73,55,52,52,55,35,25,23,29,40,53,77
市职教基地,铜陵,117.8472,30.9697,83,66,60,51,60,39,30,35,36,46,57,80
敬亭山子站,宣城,118.7386,30.9742,62,51,50,43,43,32,22,24,34,39,50,74
青浦淀山湖,上海,120.978,31.0935,74,61,55,56,48,46,39,31,36,38,54,68
徐汇上师大,上海,121.412,31.1654,65,54,47,50,42,40,31,25,28,30,46,59
浦东川沙,上海,121.703,31.1907,61,51,45,46,39,33,30,24,26,27,43,55
十五厂,上海,121.478,31.2036,65,55,49,52,45,41,35,29,30,31,46,58
浦东张江,上海,121.577,31.2071,64,54,48,49,39,39,35,29,30,30,47,56
静安监测站,上海,121.425,31.2261,66,54,48,51,43,41,35,28,31,30,47,59
浦东新区监测站,上海,121.533,31.2284,63,52,47,49,40,39,33,26,28,30,43,53
上方山,苏州,120.561,31.2472,77,64,57,52,41,35,29,26,30,35,51,69
杨浦四漂,上海,121.536,31.2659,63,53,52,50,42,40,35,27,29,30,47,59
吴中区,苏州,120.613,31.2703,74,63,54,49,40,33,29,28,32,36,54,71
南门,苏州,120.628,31.2864,79,65,56,52,43,37,31,27,30,35,50,70
苏州新区,苏州,120.543,31.2994,80,62,55,51,41,35,30,28,32,36,51,69
虹口,上海,121.467,31.3008,63,51,46,48,41,39,33,26,30,31,47,59
彩香,苏州,120.591,31.3019,77,63,55,52,43,37,31,27,30,36,54,70
苏州工业园区,苏州,120.669,31.3097,74,63,53,51,42,35,29,26,30,34,49,69
四水厂,芜湖,118.3708,31.3178,88,66,53,47,51,35,27,26,35,49,66,92
轧钢厂,苏州,120.596,31.3264,75,63,55,54,41,34,30,27,33,36,52,71
监测站,芜湖,118.3528,31.3508,81,61,51,44,48,35,31,28,38,49,64,87
相城区,苏州,120.641,31.3708,78,62,51,49,40,34,29,27,31,35,51,70
五七二零厂,芜湖,118.4022,31.3839,82,63,54,48,48,35,29,26,32,46,60,83
科创中心,芜湖,118.37,31.4189,84,63,53,46,53,38,30,32,36,50,63,86
雪浪,无锡,120.269,31.4867,73,60,53,48,40,34,27,24,29,34,48,66
漆塘,无锡,120.242,31.5031,76,63,57,50,43,36,29,26,32,36,49,68
旺庄,无锡,120.354,31.5475,81,65,56,52,47,39,31,28,33,38,55,71
荣巷,无锡,120.245,31.5631,78,64,54,50,46,39,32,28,34,37,52,72
东亭,无锡,120.354,31.5848,86,67,59,54,47,41,35,31,37,43,60,80
黄巷,无锡,120.275,31.6219,89,64,57,57,50,42,36,33,39,43,58,77
天平服装,马鞍山,118.4828,31.6411,82,70,59,47,44,37,32,29,33,44,54,72
堰桥,无锡,120.288,31.6842,88,71,63,59,50,45,38,34,41,46,63,82
湖东路四小,马鞍山,118.5058,31.6861,81,65,55,45,42,35,30,29,31,38,47,70
马钢动力厂,马鞍山,118.48,31.6928,84,70,59,49,47,38,31,30,34,41,52,77
武进监测站,常州,119.935,31.7039,87,71,63,53,44,39,33,30,33,38,55,81
市教育基地,马鞍山,118.6439,31.7133,84,66,59,49,53,38,33,36,39,50,63,81
滨湖新区,合肥,117.278,31.7386,91,77,65,50,48,40,32,31,36,46,62,89
慈湖二小,马鞍山,118.5106,31.7506,95,71,67,55,48,42,37,35,39,47,62,86
市监测站,常州,119.996,31.7586,89,76,62,52,44,41,31,30,35,38,55,80
明珠广场,合肥,117.196,31.7848,88,73,61,50,44,36,27,26,31,40,54,79
包河区,合肥,117.302,31.7956,88,78,67,54,54,46,36,31,38,47,64,91
高新区,合肥,117.124,31.8516,90,75,62,49,47,40,30,30,34,43,57,87
长江中路,合肥,117.25,31.8572,93,81,66,51,47,43,34,32,37,46,62,90
瑶海区,合肥,117.336,31.8585,96,79,69,57,56,48,40,37,44,51,67,92
琥珀山庄,合肥,117.259,31.8706,92,80,65,53,51,42,33,31,36,44,58,81
三里街,合肥,117.307,31.8766,91,78,67,54,50,41,33,33,40,47,64,88
董铺水库,合肥,117.16,31.9051,86,74,63,50,47,41,33,33,37,42,55,83
安家,常州,119.905,31.9108,86,74,66,57,51,44,34,27,34,38,57,80
星湖花园,南通,120.94,31.93,74,62,51,48,40,36,33,27,30,33,48,62
庐阳区,合肥,117.266,31.9438,94,83,70,57,55,49,40,39,44,52,68,99
南郊,南通,120.913,31.96,75,62,51,48,39,36,33,27,32,36,53,69
虹桥,南通,120.86,32.0005,73,57,48,48,40,37,34,26,29,35,53,63
奥体中心,南京,118.737,32.0092,89,71,66,54,47,41,33,31,32,37,53,76
中华门,南京,118.777,32.0144,77,65,58,46,42,34,25,22,26,35,52,72
城中,南通,120.87,32.02,72,61,50,49,43,39,34,27,31,35,50,60
瑞金路,南京,118.803,32.0314,90,72,62,49,45,40,33,30,35,42,58,78
紫琅学院,南通,120.81,32.0417,74,63,51,49,42,39,35,27,30,36,53,66
草场门,南京,118.749,32.0572,78,62,52,41,38,34,24,25,30,38,53,69
山西路,南京,118.778,32.0723,85,68,57,45,40,34,26,22,27,38,52,74
玄武湖,南京,118.795,32.0775,78,64,56,42,39,34,25,21,26,36,52,72
浦口,南京,118.626,32.0878,75,58,51,42,40,33,26,25,27,32,44,64
仙林大学城,南京,118.907,32.105,75,59,50,41,36,30,21,18,26,33,46,65
迈皋桥,南京,118.803,32.1083,85,69,62,52,48,44,32,28,32,37,50,71
丹徒区监测站,镇江,119.43,32.1319,84,73,67,55,51,47,36,32,37,43,62,77
新区办事处,镇江,119.68,32.1883,85,74,63,55,48,45,38,34,40,44,60,79
职教中心,镇江,119.491,32.215,85,72,61,49,45,42,34,31,39,43,62,80
人大宾馆,滁州,118.3244,32.2786,83,66,66,56,54,47,37,34,38,49,62,78
监测站,滁州,118.3158,32.3061,86,68,63,56,58,51,38,34,38,50,60,81
老年大学,滁州,118.3094,32.3153,83,67,61,57,57,48,36,32,36,47,62,81
邗江监测站,扬州,119.389,32.3761,76,70,66,52,46,43,34,28,31,38,59,77
莲花,泰州,119.9219,32.4611,78,69,59,54,50,48,37,29,35,41,57,73
留学生创业园,泰州,119.888,32.4639,85,79,66,61,50,42,39,29,37,42,58,76
公园路,泰州,119.9,32.4867,88,80,70,60,48,46,38,27,34,40,57,75
市监测站,盐城,120.156,33.3942,78,69,55,50,37,35,31,24,28,35,54,70
开发区管委会,盐城,120.225,33.3947,57,50,39,36,32,30,27,20,21,27,44,59
盐城电厂,盐城,120.118,33.4022,81,75,59,48,41,36,31,24,29,34,57,74
